Time,5 μM SAM,10 μM SAM,20 μM SAM,50 μM SAM,100 μM SAM,200 μM SAM
4.22697,0.030016667,0.035056667,0.047496667,0.05269,0.060286667,0.052026667
4.2567,0.027523333,0.030213333,0.045346667,0.050003333,0.056323333,0.046996667
4.28661,0.027386667,0.035886667,0.04664,0.053786667,0.058483333,0.050843333
4.31675,0.030043333,0.03421,0.04927,0.05177,0.058893333,0.04796
4.34709,0.0283,0.03334,0.051613333,0.052313333,0.059016667,0.051123333
4.37764,0.027753333,0.03562,0.048676667,0.050853333,0.060023333,0.052716667
4.40839,0.02422,0.028176667,0.041096667,0.04782,0.053323333,0.04559
4.43936,0.027556667,0.030176667,0.046103333,0.04726,0.060613333,0.049133333
4.47055,0.028536667,0.031063333,0.048756667,0.047996667,0.059036667,0.049706667
4.50196,0.023443333,0.03221,0.0447,0.04821,0.05594,0.047466667
4.53358,0.028056667,0.035953333,0.047443333,0.05096,0.0592,0.05148
4.56542,0.02802,0.0334,0.047883333,0.047526667,0.057776667,0.049266667
4.59749,0.026213333,0.0325,0.046436667,0.047506667,0.055573333,0.045653333
4.62976,0.025776667,0.0315,0.043926667,0.047356667,0.054243333,0.047383333
4.66227,0.026143333,0.032256667,0.045603333,0.0484,0.054113333,0.0449
4.69501,0.02599,0.031386667,0.04355,0.048413333,0.058176667,0.047716667
4.72796,0.02702,0.0343,0.04915,0.05094,0.054626667,0.049586667
4.76116,0.0266,0.03046,0.04768,0.05073,0.054316667,0.046246667
4.79458,0.02825,0.032213333,0.044966667,0.048826667,0.056793333,0.048366667
4.82823,0.026306667,0.03086,0.045343333,0.04534,0.052013333,0.04316
4.86211,0.025123333,0.027293333,0.040716667,0.041976667,0.055223333,0.04585
4.89622,0.02574,0.032343333,0.0437,0.048353333,0.053856667,0.047306667
4.93059,0.022896667,0.03074,0.043336667,0.047253333,0.05327,0.04521
4.96518,0.026793333,0.030536667,0.048046667,0.04563,0.057353333,0.046573333
5.00001,0.027816667,0.02922,0.042673333,0.047766667,0.053533333,0.045566667
5.03509,0.027393333,0.03128,0.04518,0.04804,0.055196667,0.04748
5.0704,0.027353333,0.032096667,0.0445,0.04918,0.055103333,0.05026
5.10596,0.02843,0.03121,0.044046667,0.047966667,0.055246667,0.04593
5.14178,0.023906667,0.028356667,0.04365,0.04568,0.05259,0.04512
5.17782,0.024656667,0.026896667,0.04035,0.045123333,0.05274,0.046373333
5.21414,0.0234,0.026076667,0.04177,0.043393333,0.048406667,0.042733333
5.25069,0.025893333,0.03006,0.043196667,0.043313333,0.052343333,0.045076667
5.2875,0.021516667,0.027653333,0.04565,0.042636667,0.05223,0.04434
5.32457,0.02193,0.027046667,0.041576667,0.042813333,0.05384,0.046943333
5.3619,0.024526667,0.02799,0.04199,0.045076667,0.051776667,0.045963333
5.39948,0.022576667,0.030176667,0.040393333,0.04543,0.053456667,0.04322
5.43733,0.024243333,0.030253333,0.04484,0.047703333,0.054396667,0.046526667
5.47542,0.027286667,0.032953333,0.04491,0.044863333,0.051256667,0.04509
5.5138,0.023616667,0.02785,0.040966667,0.042916667,0.04915,0.044923333
5.55244,0.022513333,0.02894,0.042876667,0.043943333,0.05082,0.041696667
5.59134,0.024206667,0.026486667,0.042423333,0.040966667,0.053176667,0.043893333
5.63051,0.019643333,0.02658,0.04047,0.042323333,0.05245,0.041346667
5.66995,0.023766667,0.026366667,0.041703333,0.04618,0.050526667,0.043256667
5.70967,0.019463333,0.023736667,0.039456667,0.043463333,0.048353333,0.040346667
5.74966,0.022513333,0.02692,0.039726667,0.043853333,0.052856667,0.042393333
5.78994,0.024443333,0.029496667,0.04314,0.043106667,0.05211,0.042416667
5.83049,0.022376667,0.028653333,0.0417,0.04183,0.052843333,0.04192
5.87131,0.021916667,0.02446,0.041366667,0.044566667,0.050333333,0.04002
5.91244,0.02116,0.026823333,0.039333333,0.041813333,0.049376667,0.039716667
5.95384,0.020046667,0.02473,0.037566667,0.042073333,0.048626667,0.039793333
5.99551,0.021703333,0.026893333,0.040033333,0.040433333,0.050863333,0.04267
6.03749,0.02189,0.026356667,0.039776667,0.041883333,0.0492,0.04198
6.07976,0.02168,0.0256,0.03873,0.041346667,0.04772,0.039876667
6.12231,0.02382,0.02757,0.04242,0.04325,0.051916667,0.045083333
6.16517,0.021953333,0.026136667,0.03869,0.04101,0.04922,0.04012
6.20832,0.023996667,0.02823,0.042136667,0.04405,0.04978,0.04454
6.25177,0.021643333,0.026536667,0.04063,0.041683333,0.049496667,0.04143
